Foldername,Title,Authors,Keywords,Cited by,Source title,Year,DOI,URL,PDF_URL,Abstract
selfadded,High-throughput microplastic assessment using polarization holographic imaging,Yuxing Li; Yanmin Zhu; Jianqing Huang; Yuen-Wa Ho; James Kar-Hei Fang; Edmund Y. Lam,"['holographic', 'microscopy', 'microplastic', 'polarization', 'birefringence']",14.0,Scientific Reports,2024.0,10.1038/s41598-024-52762-5,https://www.semanticscholar.org/paper/6986eb44c38c80e9ed8f3232fd5cd4a3a59c656f,https://www.nature.com/articles/s41598-024-52762-5.pdf,
selfadded,Identification of microplastics in wastewater samples by means of polarized light optical microscopy,Ignacio Sierra; Mauricio Rodríguez Chialanza; Ricardo Faccio; Daniel Carrizo; Laura Fornaro; Andrés Pérez-Parada,"['Microplastics', 'Polarized light optical microscopy', 'Raman microscopy', 'Wastewater', 'Water pollution']",8.0,Environmental Science and Pollution Research,2020.0,,,,
selfadded,Real-Time Detection of Microplastics Using an AI Camera,Sarker Md Abdul Baset; Masudul H. Imtiaz; Thomas M. Holsen; Abul B. M. Baki,"['AI', 'DeepSORT', 'environmental monitoring', 'freshwater ecosystems', 'machine vision', 'microplastics', 'object detection', 'underwater detection', 'YOLOv5']",8.0,Sensors,2024.0,10.3390/s24134394,https://doi.org/10.3390/s24134394,,
selfadded,Finding Plastic Patches in Coastal Waters using Optical Satellite Data,Lauren Biermann; Daniel Clewley; Victor Martinez-Vicente; Konstantinos Topouzelis,"['plastics', 'debris', 'seaweed', 'satellites', 'macroplastics']",298.0,Scientific Reports,2020.0,10.1038/s41598-020-62298-z,https://www.nature.com/articles/s41598-020-62298-z,,
selfadded,A semi-automated Raman micro-spectroscopy method for morphological and chemical characterizations of microplastic litter,Frere L.; Paul-Pont I.; Moreau J.; Soudant P.; Lambert C.; Huvet A.; Rinnert E.,"['Automating', 'Environmental monitoring', 'Microplastics', 'Morphology', 'Raman micro-spectroscopy', 'Surface seawater']",19.0,Marine Pollution Bulletin,2016.0,,,,
selfadded,A comparison of microscopic and spectroscopic identification methods for analysis of microplastics in environmental samples,Young Kyoung Song; Sang Hee Hong; Mi Jang; Gi Myung Han; Manviri Rani; Jongmyoung Lee; Won Joon Shim,"['Microplastics', 'Identification', 'Stereomicroscope', 'FTIR']",709.0,Marine Pollution Bulletin,2015.0,https://pdf.sciencedirectassets.com/.../main.pdf?...,https://pdf.sciencedirectassets.com/.../main.pdf?...,,
selfadded,Microplastic in situ detection based on a portable triboelectric microfluidic sensor,Motalebizadeh A.; Fardindoost S.; Jungwirth J.; Tasnim N.; Hoorfar M.,"['microplastics', 'microplastic', 'microfluidic', 'microparticles', 'sensors']",5.0,Analytical Methods,2023.0,,,,
selfadded,A Prototype of a Portable Optical Sensor for the Detection of Transparent and Translucent Microplastics in Freshwater,Asamoah B. O.; Kanyathare B.; Roussey M.; Peiponen K.-E.,"['microplastics', 'microplastic', 'optical', 'optically', 'photodiode']",80.0,Chemosphere,2019.0,10.1016/j.chemosphere.2019.05.114,https://doi.org/10.1016/j.chemosphere.2019.05.114,,
selfadded,"Microplastics in a Marine Environment: Review of Methods for Sampling, Processing, and Analyzing Microplastics in Water, Bottom Sediments, and Coastal Deposits",Zubkov M. B.; Esiukova E. E.,"['plastics', 'marine', 'samples', 'micro', 'procedures']",112.0,Oceanology,2018.0,10.1134/S0001437017060169,https://doi.org/10.1134/S0001437017060169,,
selfadded,Focal plane array detector-based micro-Fourier-transform infrared imaging for the analysis of microplastics in environmental samples,Löder M.; Kuczera M.; Mintenig S.; Lorenz C.; Gerdts G.,"['microplastics', 'microplastic', 'filters', 'filter', 'infrared']",528.0,Environmental Chemistry,2015.0,10.1071/EN14205,https://doi.org/10.1071/EN14205,,
